sentence,sentiment
awww that s a bummer you shoulda got david carr of third day to do it d,0
is upset that he can t update his facebook by texting it and might cry as a result school today also blah,0
i dived many times for the ball managed to save the rest go out of bounds,0
my whole body feels itchy and like its on fire,0
no it s not behaving at all i m mad why am i here because i can t see you all over there,0
not the whole crew,0
need a hug,0
hey long time no see yes rains a bit only a bit lol i m fine thanks how s you,0
nope they didn t have it,0
que me muera,0
spring break in plain city it s snowing,0
i just re pierced my ears,0
i couldn t bear to watch it and i thought the ua loss was embarrassing,0
it it counts idk why i did either you never talk to me anymore,0
i would ve been the first but i didn t have a gun not really though zac snyder s just a doucheclown,0
i wish i got to watch it with you i miss you and how was the premiere,0
hollis death scene will hurt me severely to watch on film wry is directors cut not out now,0
about to file taxes,0
ahh ive always wanted to see rent love the soundtrack,0
oh dear were you drinking out of the forgotten table drinks,0
i was out most of the day so didn t get much done,0
one of my friend called me and asked to meet with her at mid valley today but i ve no time sigh,0
i baked you a cake but i ated it,0
this week is not going as i had hoped,0
blagh class at tomorrow,0
i hate when i have to call and wake people up,0
just going to cry myself to sleep after watching marley and me,0
im sad now miss lilly,0
ooooh lol that leslie and ok i won t do it again so leslie won t get mad again,0
meh almost lover is the exception this track gets me depressed every time,0
some hacked my account on aim now i have to make a new one,0
i want to go to promote gear and groove but unfornately no ride there i may b going to the one in anaheim in may though,0
thought sleeping in was an option tomorrow but realizing that it now is not evaluations in the morning and work in the afternoon,0
awe i love you too am here i miss you,0
i cry my asian eyes to sleep at night,0
ok i m sick and spent an hour sitting in the shower cause i was too sick to stand and held back the puke like a champ bed now,0
ill tell ya the story later not a good day and ill be workin for like three more hours,0
sorry bed time came here gmt,0
i don t either its depressing i don t think i even want to know about the kids in suitcases,0
bed class work gym or then class another day that s gonna fly by i miss my girlfriend,0
really don t feel like getting up today but got to study to for tomorrows practical exam,0
he s the reason for the teardrops on my guitar the only one who has enough of me to break my heart,0
sad sad sad i don t know why but i hate this feeling i wanna sleep and i still can t,0
awww i soo wish i was there to see you finally comfortable im sad that i missed it,0
falling asleep just heard about that tracy girl s body being found how sad my heart breaks for that family,0
yay i m happy for you with your job but that also means less time for me and you,0
just checked my user timeline on my blackberry it looks like the twanking is still happening are ppl still having probs w bgs and uids,0
oh man was ironing fave top to wear to a meeting burnt it,0
is strangely sad about lilo and samro breaking up,0
oh i m so sorry i didn t think about that before retweeting,0
broadband plan a massive broken promise via still waiting for broadband we are,0
wow tons of replies from you may have to unfollow so i can see my friends tweets you re scrolling the feed a lot,0
our duck and chicken are taking wayyy too long to hatch,0
put vacation photos online a few yrs ago pc crashed and now i forget the name of the site,0
i need a hug,0
not sure what they are only that they are pos as much as i want to i dont think can trade away company assets sorry andy,0
i hate when that happens,0
i have a sad feeling that dallas is not going to show up i gotta say though you d think more shows would use music from the game mmm,0
ugh degrees tomorrow,0
where did u move to i thought u were already in sd hmmm random u found me glad to hear yer doing well,0
i miss my ps it s out of commission wutcha playing have you copped blood on the sand,0
just leaving the parking lot of work,0
the life is cool but not for me,0
sadly though i ve never gotten to experience the post coitus cigarette before and now i never will,0
i had such a nice day too bad the rain comes in tomorrow at am,0
